 Experimental ID,Genome assembly,Track type class,Track type,Cell type class,Cell type,Cell type description,"Processing logs of ChIP, ATAC, DNase-seq (# of reads, % mapped, % duplicates, # of peaks [Q < 1E-05])",Title,"Processing logs of Bisulfite-seq (# of reads, % mapped, � coverage, # of hyper MR)",Meta data submitted by authors,,,,
SRX18112269,hg38,TFs and others,XRN2,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"6746875,66.3,4.8,107",GSM6703903: HEK293 flavopiridol Xrn2; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,"antibody=rabbit anti Xrn2 (Brannan et al Mol. Cell 46:311-324, 2019","treatment=DMEM 10% FCS, pen/strep, flavopridol 300nM, 60 min.",,
SRX18112270,hg38,TFs and others,XRN2,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"17403103,64.2,5.6,920",GSM6703904: HEK293 triptolide Xrn2; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=HEK293,"antibody=rabbit anti Xrn2 (Brannan et al Mol. Cell 46:311-324, 2020","treatment=DMEM 10% FCS, pen/strep,triptolide 10 uM, 10 min.",,
SRX18112271,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"39040647,88.7,35.0,3532",GSM6703905: HEK293 Xrn2 WT DMSO AviXrn2; Homo sapiens; ChIP-Seq,source_name=HEK293 Flp-in Trex pcDNA5 Xrn2 WT Avitag,cell line=HEK293 Flp-in Trex pcDNA5 Xrn2 WT Avitag,antibody=rabbit anti-Avitag,"treatment=DMEM 10% FCS, 200μg/ml hygromycin B, 6.5μg/ml blasticidin, pen/strep DMSO, doxycycline (2.0 ug/ml) 24hr",,
SRX18112272,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"47511774,95.2,7.0,22248",GSM6703906: HEK293 Xrn2 WT triptolide AviXrn2; Homo sapiens; ChIP-Seq,source_name=HEK293 Flp-in Trex pcDNA5 Xrn2 WT Avitag,cell line=HEK293 Flp-in Trex pcDNA5 Xrn2 WT Avitag,antibody=rabbit anti-Avitag,"treatment=DMEM 10% FCS, 200μg/ml hygromycin B, 6.5μg/ml blasticidin, pen/strep DMSO, doxycycline (2.0 ug/ml) 24hr",,
SRX1813572,hg38,TFs and others,POU5F1,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6359398,61.1,32.3,47",GSM2183767: MRC5 rep1 Oct4; Homo sapiens; ChIP-Seq,source_name=MRC5_Oct4,chip antibody=Oct4 (Abcam ab19857 Lot: GR187600-1),cell line=MRC5 fibroblasts,passage=8,,
SRX1813573,hg38,TFs and others,POU5F1,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6738862,56.3,20.2,46",GSM2183768: MRC5 rep2 Oct4; Homo sapiens; ChIP-Seq,source_name=MRC5_Oct4,chip antibody=Oct4 (Abcam ab19857 Lot: GR187600-1),cell line=MRC5 fibroblasts,passage=8,SRX1813574,hg38
SRX1813580,hg38,TFs and others,SOX2,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"3273628,54.4,38.0,25",GSM2183775: MRC5 rep1 Sox2; Homo sapiens; ChIP-Seq,source_name=MRC5_Sox2,chip antibody=Sox2 (R&amp;D Systems AF2018),cell line=MRC5 fibroblasts,passage=8,,
SRX1813581,hg38,TFs and others,SOX2,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"2239192,35.4,23.7,11",GSM2183776: MRC5 rep2 Sox2; Homo sapiens; ChIP-Seq,source_name=MRC5_Sox2,chip antibody=Sox2 (R&amp;D Systems AF2018),cell line=MRC5 fibroblasts,passage=8,SRX1813582,hg38
SRX1813588,hg38,TFs and others,KLF4,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"1591115,33.1,36.8,6",GSM2183783: MRC5 rep1 Klf4; Homo sapiens; ChIP-Seq,source_name=MRC5_Klf4,chip antibody=Klf4 (R&amp;D Systems AF3640),cell line=MRC5 fibroblasts,passage=8,,
SRX1813589,hg38,TFs and others,KLF4,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"1658759,40.1,26.0,8",GSM2183784: MRC5 rep2 Klf4; Homo sapiens; ChIP-Seq,source_name=MRC5_Klf4,chip antibody=Klf4 (R&amp;D Systems AF3640),cell line=MRC5 fibroblasts,passage=8,SRX1813590,hg38
SRX1813596,hg38,TFs and others,MYC,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"4893401,38.9,36.7,28",GSM2183791: MRC5 rep1 Myc; Homo sapiens; ChIP-Seq,source_name=MRC5_Myc,chip antibody=Myc (R&amp;D Systems AF3696),cell line=MRC5 fibroblasts,passage=8,,
SRX1813597,hg38,TFs and others,MYC,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"1940403,45.7,24.5,14",GSM2183792: MRC5 rep2 Myc; Homo sapiens; ChIP-Seq,source_name=MRC5_Myc,chip antibody=Myc (R&amp;D Systems AF3696),cell line=MRC5 fibroblasts,passage=8,SRX1813598,hg38
SRX1835121,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"34179965,89.1,7.6,980",GSM2195103: ERG-ChIP RWPE1-ERG(WT) Rep1; Homo sapiens; ChIP-Seq,source_name=RWPE1,cell line=RWPE1,cell type=normal prostate,antibody=Anti-ERG Clone 9FY Biocare # CM421 C,,
SRX1835122,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"28774125,95.1,3.3,1082",GSM2195106: ERG-ChIP RWPE1-ERG(WT) Rep2; Homo sapiens; ChIP-Seq,source_name=RWPE1,cell line=RWPE1,cell type=normal prostate,antibody=Anti-ERG Clone 9FY Biocare # CM421 C,,
SRX1835123,hg38,TFs and others,EWSR1,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"26595003,93.8,8.0,798",GSM2195108: EWS-ChIP RWPE1-ERG(WT); Homo sapiens; ChIP-Seq,source_name=RWPE1,cell line=RWPE1,cell type=normal prostate,antibody=Anti-EWS clone G5 sc-28327,,
SRX1835124,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"25901386,94.5,3.3,783",GSM2195110: ERG-ChIP RWPE1-ERG(P436A); Homo sapiens; ChIP-Seq,source_name=RWPE1,cell line=RWPE1,cell type=normal prostate,antibody=Anti-ERG Clone 9FY Biocare # CM421 C,,
SRX1835125,hg38,TFs and others,EWSR1,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"35758991,90.2,9.8,1061",GSM2195112: EWS-ChIP RWPE1-ERG(P436A); Homo sapiens; ChIP-Seq,source_name=RWPE1,cell line=RWPE1,cell type=normal prostate,antibody=Anti-EWS clone G5 sc-28327,,
SRX194192,hg38,TFs and others,TET3,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"12335647,27.4,2.0,1275",GSM1018960: 293T40Tet3; Homo sapiens; ChIP-Seq,"source_name=Human embryonic kidney cells, pull-down of GST-tagged TET3 CXXC domain protein",cell line=HEK293T,cell type=embryonic kidney cells,pull-down=GST-tagged TET3 CXXC domain protein,,
SRX1993434,hg38,TFs and others,ZSCAN5B,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"10524520,96.3,1.2,456",GSM2255819: 19 HEK ZSCAN5B SC; Homo sapiens; ChIP-Seq,source_name=Human HEK 293 cell line,cell line=Human HEK 293,antibody=ZSCAN5B (Santa Cruz),treatment or control=treatment,,
SRX1993435,hg38,TFs and others,ZSCAN5B,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20615498,97.2,1.7,608",GSM2255820: 20 HEK ZSCAN5B SC; Homo sapiens; ChIP-Seq,source_name=Human HEK 293 cell line,cell line=Human HEK 293,antibody=ZSCAN5B (Santa Cruz),treatment or control=treatment,,
SRX2000339,hg38,TFs and others,TET2,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"19372692,98.3,5.9,809",GSM2259940: mock-tet2; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=TET2,treatment=DMSO,,
SRX2000340,hg38,TFs and others,RARB,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"14036173,98.6,3.6,576",GSM2259941: mock-rarb; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=RARb,treatment=DMSO,,
SRX2000341,hg38,TFs and others,5-hmC,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"16295567,98.2,5.1,700",GSM2259942: mock-5hmc; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=5hmc,treatment=DMSO,,
SRX2000342,hg38,TFs and others,TET3,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"52447977,97.5,41.5,1178",GSM2259943: atra-tet2; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=TET3,treatment=ATRA,,
SRX2000343,hg38,TFs and others,RARB,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"17204476,98.6,4.9,721",GSM2259944: atra-rarb; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=RARb,treatment=ATRA,,
SRX2000344,hg38,TFs and others,5-hmC,Breast,MCF-12A,Primary Tissue=Breast|Tissue Diagnosis=Normal,"10155303,97.0,5.9,509",GSM2259945: atra-5hmc; Homo sapiens; ChIP-Seq,source_name=human mammary epithelial cells,cell line=MCF12A,antibody=5hmc,treatment=ATRA,SRX200036,hg38
SRX204662,hg38,TFs and others,RBBP5,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"57937349,97.5,92.9,1748",GSM1037511: HCF1 ChIP-Seq; Homo sapiens; ChIP-Seq,source_name=H293T,chip antibody=HCF1,cell line=H293T,,SRX20472432,hg38
SRX2067666,hg38,TFs and others,ERG,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"27664822,57.8,25.4,568",GSM2298873: ERG-ChIP RWPE1-ERG(S96A).fastq.gz; Homo sapiens; ChIP-Seq,source_name=ERG-ChIP_RWPE1-ERG(S96A),cell line=RWPE1,genotype/variation=expressing point-mutant (S96A) of ERG,"chip antibody=Anti-ERG Clone 9FY (Biocare, Catalog# CM421 C, Lot #021715)",,
SRX2067667,hg38,TFs and others,EZH2,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"24848848,47.1,22.2,293",GSM2298874: EZH2-ChIP RWPE1-Vector.fastq.gz; Homo sapiens; ChIP-Seq,source_name=EZH2-ChIP_RWPE1-Vector,cell line=RWPE1,genotype/variation=expressing empty vector,"chip antibody=Anti-EZH2 (Cell Signaling, Catalog # 5246, Lot #7)",,
SRX2067668,hg38,TFs and others,EZH2,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"35760504,89.1,17.9,928",GSM2298875: EZH2-ChIP RWPE1-ERG(WT).fastq.gz; Homo sapiens; ChIP-Seq,source_name=EZH2-ChIP_RWPE1-ERG(WT),cell line=RWPE1,genotype/variation=expressing wild type ERG,"chip antibody=Anti-EZH2 (Cell Signaling, Catalog # 5246, Lot #7)",,
SRX2067669,hg38,TFs and others,EZH2,Prostate,RWPE-1,Primary Tissue=Prostate|Tissue Diagnosis=Normal,"33392395,70.9,19.9,717",GSM2298876: EZH2-ChIP RWPE1-ERG(S96A).fastq.gz; Homo sapiens; ChIP-Seq,source_name=EZH2-ChIP_RWPE1-ERG(S96A),cell line=RWPE1,genotype/variation=expressing point-mutant (S96A) of ERG,"chip antibody=Anti-EZH2 (Cell Signaling, Catalog # 5246, Lot #7)",,
SRX208484,hg38,TFs and others,TP53,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"16193281,28.8,67.0,2818",GSM1048850: Growing p53; Homo sapiens; ChIP-Seq,source_name=IMR90 Human Fetal Lung Fibroblast cell line,"chip antibody=p53 antibody (Cat number: sc-126 DO-1) from Santa Cruz (10 ug) [mouse monoclonal antibody, Lot:F0909]",cell line=IMR90,cell type=Human Fetal Lung Fibroblast cell line,,
SRX208485,hg38,TFs and others,TP53,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"15758864,31.5,57.9,5761",GSM1048851: Senescent/shLuc p53; Homo sapiens; ChIP-Seq,source_name=IMR90 Human Fetal Lung Fibroblast cell line,"chip antibody=p53 antibody (Cat number: sc-126 DO-1) from Santa Cruz (10 ug) [mouse monoclonal antibody, Lot:F0909]",cell line=IMR90,cell type=Human Fetal Lung Fibroblast cell line,,
SRX208486,hg38,TFs and others,TP53,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"15099856,30.6,47.7,4320",GSM1048852: Senescent/shp53 p53; Homo sapiens; ChIP-Seq,source_name=IMR90 Human Fetal Lung Fibroblast cell line,"chip antibody=p53 antibody (Cat number: sc-126 DO-1) from Santa Cruz (10 ug) [mouse monoclonal antibody, Lot:F0909]",cell line=IMR90,cell type=Human Fetal Lung Fibroblast cell line,,
SRX210718,hg38,TFs and others,MYC,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"96651724,67.5,3.4,17731",GSM1054009: Myc Idax ChIP-seq; Homo sapiens; ChIP-Seq,GEO Accession=GSM1054009,cell line=HEK293T,transfection=wild-type Myc-Idax,"antibody=Anti-c-Myc; Sigma, Cat#: A7470-1ML (Agarose Affinity Gel)",,
SRX210719,hg38,TFs and others,MYC,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"75459372,70.9,2.7,2624",GSM1054010: Myc IdaxDBM ChIP-seq; Homo sapiens; ChIP-Seq,GEO Accession=GSM1054010,cell line=HEK293T,transfection=DNA-binding mutant of Myc-Idax (Myc-IdaxDBM),"antibody=Anti-c-Myc; Sigma, Cat#: A7470-1ML (Agarose Affinity Gel)",,
SRX210720,hg38,TFs and others,MYC,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"74831245,49.7,2.8,5182",GSM1054011: Empty ChIP-seq; Homo sapiens; ChIP-Seq,GEO Accession=GSM1054011,cell line=HEK293T,transfection=empty vector,"antibody=Anti-c-Myc; Sigma, Cat#: A7470-1ML (Agarose Affinity Gel)",SRX21075657,hg38
SRX2178947,hg38,TFs and others,ZMYND8,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"66154157,98.3,6.0,1576",GSM2322594: HEK293 Flag-ZMYND8 ChIP-seq (replicate 1); Homo sapiens; ChIP-Seq,source_name=HEK293_Flag-ZMYND8_ChIP-seq (replicate_1),cell line=HEK293,"chip antibody=Flag (Sigma, F1804)",,,
SRX2178948,hg38,TFs and others,ZMYND8,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"64345841,98.0,5.1,2024",GSM2322595: HEK293 Flag-ZMYND8 ChIP-seq (replicate 2); Homo sapiens; ChIP-Seq,source_name=HEK293_Flag-ZMYND8_ChIP-seq (replicate_2),cell line=HEK293,"chip antibody=Flag (Sigma, F1804)",,,
SRX220061,hg38,TFs and others,PGR,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"22100036,79.7,6.1,904",GSM1071296: PR PR infected; Homo sapiens; ChIP-Seq,source_name=primary HUVECs,cell type=endothelial cells,treatment=PR infected,ChIP=PR,,
SRX220062,hg38,TFs and others,PGR,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"23518196,74.0,6.0,4053",GSM1071297: PR PR infected+Prog; Homo sapiens; ChIP-Seq,source_name=primary HUVECs,cell type=endothelial cells,treatment=PR infected + Progesterone,ChIP=PR,,
SRX220063,hg38,TFs and others,PGR,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"17433554,83.6,5.7,689",GSM1071298: IgG PR infected; Homo sapiens; ChIP-Seq,source_name=primary HUVECs,cell type=endothelial cells,treatment=PR infected,ChIP=PR,,
SRX2250891,hg38,TFs and others,TFEB,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"22825340,95.0,49.1,4789",GSM2354032: ChIP-seq TFEB; Homo sapiens; ChIP-Seq,source_name=HUVEC,strain=endothelial cells from umbilical cords newborn healthy humans,"antibody=TFEB (#4240, CST)",,,
SRX2323866,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30508826,90.2,6.6,905",GSM2373677: 293 D2M7U DMSO 1; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,drug treatment=DMSO,chip antibody=MLL D2M7U,,
SRX2323867,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30712834,92.2,6.8,2733",GSM2373678: 293 D2M7U IRAK inhibitor 1; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,drug treatment=IRAK1/4 inhibitor,chip antibody=MLL D2M7U,,
SRX2323890,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"37231605,97.6,7.9,3915",GSM2373701: 293 D2M7U; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,chip antibody=MLL D2M7U,,,
SRX2323891,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"35638279,97.2,7.4,8527",GSM2373702: 293 MLLAFF1 D2M7U; Homo sapiens; ChIP-Seq,source_name=HEK293-MLL-AFF1,cell line=Human embryonic kidney cells,chip antibody=MLL D2M7U,,,
SRX2323892,hg38,TFs and others,AFF4,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"35118431,97.9,6.4,890",GSM2373703: 293 AFF4NT; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,chip antibody=homemade AFF4NT,,,
SRX2323893,hg38,TFs and others,AFF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"35024917,98.1,6.8,1216",GSM2373704: 293 MLLAFF1 AFF4NT; Homo sapiens; ChIP-Seq,source_name=HEK293-MLL-AFF1,cell line=Human embryonic kidney cells,chip antibody=homemade AFF4NT,,,
SRX2323894,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"30665303,94.7,8.2,767",GSM2373705: 293 D2N1D; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,chip antibody=MLL D2N1D,,,
SRX2323895,hg38,TFs and others,KMT2A,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24468016,87.0,14.9,2570",GSM2373706: 293 MLLAFF1 D2N1D; Homo sapiens; ChIP-Seq,source_name=HEK293-MLL-AFF1,cell line=Human embryonic kidney cells,chip antibody=MLL D2N1D,,,
SRX2323896,hg38,TFs and others,AFF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"36002268,97.1,4.2,994",GSM2373707: 293 AFF1CT; Homo sapiens; ChIP-Seq,source_name=HEK293,cell line=Human embryonic kidney cells,chip antibody=homemade AFF1CT,,,
SRX2323897,hg38,TFs and others,AFF1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"36197335,97.7,4.1,1319",GSM2373708: 293 MLLAFF1 AFF1CT; Homo sapiens; ChIP-Seq,source_name=HEK293-MLL-AFF1,cell line=Human embryonic kidney cells,chip antibody=homemade AFF1CT,,,
SRX2346891,hg38,TFs and others,HIF1A,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"46624179,69.0,59.1,151",GSM2390641: HIF1A ChIPSeq; Homo sapiens; ChIP-Seq,source_name=HUVEC cells,cell line=HUVEC,chip antibody=HIF1A (PM14),passagges=from 4 to 6,,
SRX2346892,hg38,TFs and others,EPAS1,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"25590109,73.5,55.8,111",GSM2390642: EPAS1 ChIPSeq; Homo sapiens; ChIP-Seq,source_name=HUVEC cells,cell line=HUVEC,chip antibody=EPAS1 (PM9),passagges=from 4 to 6,,
SRX2346893,hg38,TFs and others,ARNT,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"35926368,74.8,66.8,161",GSM2390643: ARNT ChIPSeq; Homo sapiens; ChIP-Seq,source_name=HUVEC cells,cell line=HUVEC,"chip antibody=ARNT (Novus, NB-100-110)",passagges=from 4 to 6,SRX23474914,hg38
SRX235608,hg38,TFs and others,SMC3,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"161588472,89.6,91.7,6461","GSM1081542: Smc3 ChIP-seq, RAD21cv HEK293, TEV Treated; Homo sapiens; ChIP-Seq","source_name=Smc3 ChIP-seq, RAD21cv HEK293, TEV Treated",cell line=HEK293T RAD21cv,,,,
SRX2368878,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"26016404,100.0,4.6,63404",GSM2401446: BJ FOXA2 ChIP Rep1; Homo sapiens; ChIP-Seq,source_name=FOXA2 ChIP BJ,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,,
SRX2368879,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"22822126,100.0,6.0,52238",GSM2401447: BJ FOXA2 ChIP Rep2; Homo sapiens; ChIP-Seq,source_name=FOXA2 ChIP BJ,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,,
SRX2368884,hg38,TFs and others,GATA4,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"10604377,97.1,0.6,10209",GSM2401452: BJH GATA4-V5chip0703.1; Homo sapiens; ChIP-Seq,source_name=GATA4 ChIP,cell line=BJ Fibroblast,chip antibody=GATA4,,,
SRX2368885,hg38,TFs and others,GATA4,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"11457366,97.7,0.6,12402",GSM2401453: BJH GATA4-V5chip0703.2; Homo sapiens; ChIP-Seq,source_name=GATA4 ChIP,cell line=BJ Fibroblast,chip antibody=GATA4,,,
SRX2368898,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"8198487,96.5,5.0,16720",GSM2401466: BJ PlusMimosinePlus FOXA2-FOXA2Chip0703.1; Homo sapiens; ChIP-Seq,source_name=FOXA2 Mimo Plus ChIP,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,,
SRX2368899,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"8832314,97.0,5.4,18738",GSM2401467: BJ PlusMimosinePlus FOXA2-FOXA2Chip0703.2; Homo sapiens; ChIP-Seq,source_name=FOXA2 Mimo Plus ChIP,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,,
SRX2368900,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"9997944,97.0,0.6,15353",GSM2401468: BJ PlusMimosineRelease FOXA2-FOXA2Chip0703.1; Homo sapiens; ChIP-Seq,source_name=FOXA2 Mimo Released ChIP,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,,
SRX2368901,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"10800415,97.7,0.7,17563",GSM2401469: BJ PlusMimosineRelease FOXA2-FOXA2Chip0703.2; Homo sapiens; ChIP-Seq,source_name=FOXA2 Mimo Released ChIP,cell line=BJ Fibroblast,chip antibody=FoxA2 Antibody,,SRX2370571,hg38
SRX2417121,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"71516868,96.6,27.1,430",GSM2424732: ChIP dCas9-BFP-DNMT3A (500 ng) + uPA gRNA (500 ng); Homo sapiens; ChIP-Seq,source_name=Human embryonic kidney,cell line=HEK293T,"chip antibody=anti-HA tag antibody (Cell Signaling, catalog# C29F4, lot# 5 from 12/2014)",,SRX24188769,hg38
SRX2431535,hg38,TFs and others,POU5F1,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"18427708,97.8,4.4,4930",GSM2430673: OCT ChIP BJ; Homo sapiens; ChIP-Seq,source_name=OCT ChIP BJ,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431536,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"19524973,99.0,2.3,9017",GSM2430674: FOXA2 GATA4 CoExp FOXA2 ChIP Rep1; Homo sapiens; ChIP-Seq,source_name=FOXA2 GATA4 CoExp FOXA2 ChIP Rep1,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431537,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"20798359,97.4,1.3,41308",GSM2430675: FOXA2 GATA4 CoExp FOXA2 ChIP Rep2; Homo sapiens; ChIP-Seq,source_name=FOXA2 GATA4 CoExp FOXA2 ChIP Rep2,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431538,hg38,TFs and others,GATA4,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"22061743,97.5,1.2,38825",GSM2430676: GATA4 ChIP; Homo sapiens; ChIP-Seq,source_name=GATA4 ChIP,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431539,hg38,TFs and others,GATA4,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"20130341,99.0,2.2,33931",GSM2430677: FOXA2 GATA4 CoExp GATA4 ChIP; Homo sapiens; ChIP-Seq,source_name=FOXA2 GATA4 CoExp GATA4 ChIP,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431540,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"17030801,96.8,9.8,38394",GSM2430678: Mimosine FOXA2 ChIP; Homo sapiens; ChIP-Seq,source_name=Mimosine FOXA2 ChIP,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
SRX2431541,hg38,TFs and others,FOXA2,Epidermis,BJ,Primary Tissue=Skin|Tissue Diagnosis=Normal,"14782061,96.7,1.2,33804",GSM2430679: MimosineRelease FOXA2 ChIP; Homo sapiens; ChIP-Seq,source_name=MimosineRelease FOXA2 ChIP,cell line=BJFOXA2 line,source cell tyep=BJ Fibroblast,genotype/variation=Clonal FOXA2 doxycycline inducible cells,,
